FULL
0, 4
0, 5
0, 6
0, 7
0, 8
1, 8
1, 9
0, 9
0, 10
0, 11
0, 12
1, 12
1, 11
1, 10
2, 10
2, 11
2, 12
2, 13
2, 14
1, 14
0, 14
0, 15
1, 15
1, 16
1, 17
0, 17
0, 18
0, 19
0, 20
1, 20
2, 20
3, 20
3, 21
3, 22
2, 22
1, 22
0, 22
0, 23
1, 23
1, 24
2, 24
3, 24
4, 24
4, 23
4, 22
5, 22
6, 22
6, 23
5, 23
5, 24
6, 24
7, 24
8, 24
9, 24
9, 23
9, 22
9, 21
8, 21
7, 21
7, 22
7, 23
8, 23
8, 22
6, 21
5, 21
4, 21
4, 20
5, 20
6, 20
7, 20
7, 19
8, 19
8, 20
9, 20
9, 19
9, 18
9, 17
8, 17
8, 16
8, 15
7, 15
7, 16
6, 16
6, 15
5, 15
5, 16
4, 16
4, 17
5, 17
6, 17
7, 17
